"WEEK","ISOWEEKS","YEARWEEK","SUM","PRICE","PROMO","CATEGORY"
10,1989-03-05 12:00:00,"1989-09",764000,1.79,1,"Soft Drink"
11,1989-03-12 12:00:00,"1989-10",123792,0.575,1,"FrontEnd Candies"
11,1989-03-12 12:00:00,"1989-10",104668,1.175,1,"Frozen Juice"
11,1989-03-12 12:00:00,"1989-10",71185,1.89,1,"Bottled Juice"
11,1989-03-12 12:00:00,"1989-10",719470,0.89,1,"Soft Drink"
12,1989-03-19 12:00:00,"1989-11",146057,0.575,1,"FrontEnd Candies"
12,1989-03-19 12:00:00,"1989-11",149134,1.19,1,"Frozen Juice"
12,1989-03-19 12:00:00,"1989-11",93411,1.62,1,"Bottled Juice"
12,1989-03-19 12:00:00,"1989-11",632071,1.79,1,"Soft Drink"
13,1989-03-26 12:00:00,"1989-12",134241,0.575,1,"FrontEnd Candies"
13,1989-03-26 12:00:00,"1989-12",211467,0.89,1,"Frozen Juice"
13,1989-03-26 12:00:00,"1989-12",88946,1.84,1,"Bottled Juice"
13,1989-03-26 12:00:00,"1989-12",570743,1.09,1,"Soft Drink"
14,1989-04-02 12:00:00,"1989-13",151284,0.575,1,"FrontEnd Candies"
14,1989-04-02 12:00:00,"1989-13",173284,1.19,1,"Frozen Juice"
14,1989-04-02 12:00:00,"1989-13",110487,1.84,1,"Bottled Juice"
14,1989-04-02 12:00:00,"1989-13",817572,1,1,"Soft Drink"
15,1989-04-09 12:00:00,"1989-14",127200,0.7,1,"FrontEnd Candies"
15,1989-04-09 12:00:00,"1989-14",165776,1.045,1,"Frozen Juice"
15,1989-04-09 12:00:00,"1989-14",97421,1.74,1,"Bottled Juice"
15,1989-04-09 12:00:00,"1989-14",766509,0.99,1,"Soft Drink"
16,1989-04-16 12:00:00,"1989-15",127682,0.645,1,"FrontEnd Candies"
16,1989-04-16 12:00:00,"1989-15",192988,1.09,1,"Frozen Juice"
16,1989-04-16 12:00:00,"1989-15",100085,2.39,1,"Bottled Juice"
16,1989-04-16 12:00:00,"1989-15",934086,0.89,1,"Soft Drink"
17,1989-04-23 12:00:00,"1989-16",133866,0.645,1,"FrontEnd Candies"
17,1989-04-23 12:00:00,"1989-16",221303,1.015,1,"Frozen Juice"
17,1989-04-23 12:00:00,"1989-16",96854,1.745,1,"Bottled Juice"
17,1989-04-23 12:00:00,"1989-16",479498,1.045,1,"Soft Drink"
18,1989-04-30 12:00:00,"1989-17",145253,0.625,1,"FrontEnd Candies"
18,1989-04-30 12:00:00,"1989-17",225189,0.99,1,"Frozen Juice"
18,1989-04-30 12:00:00,"1989-17",104347,1.88,1,"Bottled Juice"
18,1989-04-30 12:00:00,"1989-17",520291,1.19,1,"Soft Drink"
19,1989-05-07 12:00:00,"1989-18",171258,0.625,1,"FrontEnd Candies"
19,1989-05-07 12:00:00,"1989-18",173041,1.19,1,"Frozen Juice"
19,1989-05-07 12:00:00,"1989-18",100787,1.85,1,"Bottled Juice"
19,1989-05-07 12:00:00,"1989-18",600720,1.18,1,"Soft Drink"
20,1989-05-14 12:00:00,"1989-19",168185,0.575,1,"FrontEnd Candies"
20,1989-05-14 12:00:00,"1989-19",170236,0.94,1,"Frozen Juice"
20,1989-05-14 12:00:00,"1989-19",94012,1.82,1,"Bottled Juice"
20,1989-05-14 12:00:00,"1989-19",643625,1.18,1,"Soft Drink"
21,1989-05-21 12:00:00,"1989-20",178608,0.575,1,"FrontEnd Candies"
21,1989-05-21 12:00:00,"1989-20",209949,0.995,1,"Frozen Juice"
21,1989-05-21 12:00:00,"1989-20",97727,1.98,1,"Bottled Juice"
21,1989-05-21 12:00:00,"1989-20",847763,1.29,1,"Soft Drink"
22,1989-05-28 12:00:00,"1989-21",219685,0.645,1,"FrontEnd Candies"
22,1989-05-28 12:00:00,"1989-21",147637,1.14,1,"Frozen Juice"
22,1989-05-28 12:00:00,"1989-21",127129,1.75,1,"Bottled Juice"
22,1989-05-28 12:00:00,"1989-21",613553,2.99,1,"Soft Drink"
23,1989-06-04 12:00:00,"1989-22",171059,0.595,1,"FrontEnd Candies"
23,1989-06-04 12:00:00,"1989-22",140600,1.455,1,"Frozen Juice"
23,1989-06-04 12:00:00,"1989-22",179287,1.73,1,"Bottled Juice"
23,1989-06-04 12:00:00,"1989-22",874987,1,1,"Soft Drink"
24,1989-06-11 12:00:00,"1989-23",169730,0.595,1,"FrontEnd Candies"
24,1989-06-11 12:00:00,"1989-23",153712,1.09,1,"Frozen Juice"
24,1989-06-11 12:00:00,"1989-23",98219,1.69,1,"Bottled Juice"
24,1989-06-11 12:00:00,"1989-23",866011,1.29,1,"Soft Drink"
25,1989-06-18 12:00:00,"1989-24",176763,0.595,1,"FrontEnd Candies"
25,1989-06-18 12:00:00,"1989-24",210464,1.04,1,"Frozen Juice"
25,1989-06-18 12:00:00,"1989-24",113764,1.95,1,"Bottled Juice"
25,1989-06-18 12:00:00,"1989-24",687976,1.99,1,"Soft Drink"
26,1989-06-25 12:00:00,"1989-25",169409,0.645,1,"FrontEnd Candies"
26,1989-06-25 12:00:00,"1989-25",153942,1.29,1,"Frozen Juice"
26,1989-06-25 12:00:00,"1989-25",108402,1.695,1,"Bottled Juice"
26,1989-06-25 12:00:00,"1989-25",628227,1.79,1,"Soft Drink"
27,1989-07-02 12:00:00,"1989-26",171847,0.645,1,"FrontEnd Candies"
27,1989-07-02 12:00:00,"1989-26",217510,0.99,1,"Frozen Juice"
27,1989-07-02 12:00:00,"1989-26",112166,1.79,1,"Bottled Juice"
27,1989-07-02 12:00:00,"1989-26",827013,0.99,1,"Soft Drink"
28,1989-07-09 12:00:00,"1989-27",168017,0.675,1,"FrontEnd Candies"
28,1989-07-09 12:00:00,"1989-27",166531,1.17,1,"Frozen Juice"
28,1989-07-09 12:00:00,"1989-27",107083,1.79,1,"Bottled Juice"
28,1989-07-09 12:00:00,"1989-27",506748,2.99,1,"Soft Drink"
29,1989-07-16 12:00:00,"1989-28",156250,0.675,1,"FrontEnd Candies"
29,1989-07-16 12:00:00,"1989-28",146826,1.09,1,"Frozen Juice"
29,1989-07-16 12:00:00,"1989-28",92331,1.885,1,"Bottled Juice"
29,1989-07-16 12:00:00,"1989-28",768413,2.79,1,"Soft Drink"
30,1989-07-23 12:00:00,"1989-29",161302,0.675,1,"FrontEnd Candies"
30,1989-07-23 12:00:00,"1989-29",173141,1.09,1,"Frozen Juice"
30,1989-07-23 12:00:00,"1989-29",92138,1.84,1,"Bottled Juice"
30,1989-07-23 12:00:00,"1989-29",537997,1.19,1,"Soft Drink"
31,1989-07-30 12:00:00,"1989-30",156615,0.575,1,"FrontEnd Candies"
31,1989-07-30 12:00:00,"1989-30",137334,1.05,1,"Frozen Juice"
31,1989-07-30 12:00:00,"1989-30",93824,3.015,1,"Bottled Juice"
31,1989-07-30 12:00:00,"1989-30",465242,1.59,1,"Soft Drink"
32,1989-08-06 12:00:00,"1989-31",151691,0.575,1,"FrontEnd Candies"
32,1989-08-06 12:00:00,"1989-31",173177,1.09,1,"Frozen Juice"
32,1989-08-06 12:00:00,"1989-31",98663,1.79,1,"Bottled Juice"
32,1989-08-06 12:00:00,"1989-31",765807,1.39,1,"Soft Drink"
33,1989-08-13 12:00:00,"1989-32",163683,0.575,1,"FrontEnd Candies"
33,1989-08-13 12:00:00,"1989-32",154723,1.155,1,"Frozen Juice"
33,1989-08-13 12:00:00,"1989-32",104488,1.805,1,"Bottled Juice"
33,1989-08-13 12:00:00,"1989-32",1220500,0.89,1,"Soft Drink"
34,1989-08-20 12:00:00,"1989-33",173207,0.75,1,"FrontEnd Candies"
34,1989-08-20 12:00:00,"1989-33",143066,1.09,1,"Frozen Juice"
34,1989-08-20 12:00:00,"1989-33",121172,1.79,1,"Bottled Juice"
34,1989-08-20 12:00:00,"1989-33",457617,1.19,1,"Soft Drink"
35,1989-08-27 12:00:00,"1989-34",173619,0.75,1,"FrontEnd Candies"
35,1989-08-27 12:00:00,"1989-34",122327,1.09,1,"Frozen Juice"
35,1989-08-27 12:00:00,"1989-34",74889,1.77,1,"Bottled Juice"
35,1989-08-27 12:00:00,"1989-34",628001,3.99,1,"Soft Drink"
36,1989-09-03 12:00:00,"1989-35",194431,1,1,"FrontEnd Candies"
36,1989-09-03 12:00:00,"1989-35",134842,1.39,1,"Frozen Juice"
36,1989-09-03 12:00:00,"1989-35",85334,1.73,1,"Bottled Juice"
36,1989-09-03 12:00:00,"1989-35",605774,0.99,1,"Soft Drink"
37,1989-09-10 12:00:00,"1989-36",233195,0.89,1,"FrontEnd Candies"
37,1989-09-10 12:00:00,"1989-36",182938,1.49,1,"Frozen Juice"
37,1989-09-10 12:00:00,"1989-36",98380,1.99,1,"Bottled Juice"
37,1989-09-10 12:00:00,"1989-36",570656,1.595,1,"Soft Drink"
38,1989-09-17 12:00:00,"1989-37",225549,0.89,1,"FrontEnd Candies"
38,1989-09-17 12:00:00,"1989-37",172453,1.34,1,"Frozen Juice"
38,1989-09-17 12:00:00,"1989-37",119541,1.89,1,"Bottled Juice"
38,1989-09-17 12:00:00,"1989-37",637700,1.995,1,"Soft Drink"
39,1989-09-24 12:00:00,"1989-38",204990,0.7,1,"FrontEnd Candies"
39,1989-09-24 12:00:00,"1989-38",179934,1.29,1,"Frozen Juice"
39,1989-09-24 12:00:00,"1989-38",106287,1.8,1,"Bottled Juice"
39,1989-09-24 12:00:00,"1989-38",1407460,0.99,1,"Soft Drink"
40,1989-10-01 12:00:00,"1989-39",193339,0.7,1,"FrontEnd Candies"
40,1989-10-01 12:00:00,"1989-39",184881,1.29,1,"Frozen Juice"
40,1989-10-01 12:00:00,"1989-39",116988,1.795,1,"Bottled Juice"
40,1989-10-01 12:00:00,"1989-39",863192,1.29,1,"Soft Drink"
41,1989-10-08 12:00:00,"1989-40",193263,0.7,1,"FrontEnd Candies"
41,1989-10-08 12:00:00,"1989-40",187623,1.14,1,"Frozen Juice"
41,1989-10-08 12:00:00,"1989-40",113779,1.745,1,"Bottled Juice"
41,1989-10-08 12:00:00,"1989-40",619246,1.29,1,"Soft Drink"
42,1989-10-15 12:00:00,"1989-41",220845,0.7,1,"FrontEnd Candies"
42,1989-10-15 12:00:00,"1989-41",274181,1.09,1,"Frozen Juice"
42,1989-10-15 12:00:00,"1989-41",182360,1.79,1,"Bottled Juice"
42,1989-10-15 12:00:00,"1989-41",822182,1.69,1,"Soft Drink"
43,1989-10-22 12:00:00,"1989-42",204635,0.4,1,"FrontEnd Candies"
43,1989-10-22 12:00:00,"1989-42",204844,1.29,1,"Frozen Juice"
43,1989-10-22 12:00:00,"1989-42",132258,1.78,1,"Bottled Juice"
43,1989-10-22 12:00:00,"1989-42",758391,1.29,1,"Soft Drink"
44,1989-10-29 12:00:00,"1989-43",230230,0.69,1,"FrontEnd Candies"
44,1989-10-29 12:00:00,"1989-43",179835,1.24,1,"Frozen Juice"
44,1989-10-29 12:00:00,"1989-43",109573,1.76,1,"Bottled Juice"
44,1989-10-29 12:00:00,"1989-43",574621,1,1,"Soft Drink"
45,1989-11-05 12:00:00,"1989-44",229528,0.645,1,"FrontEnd Candies"
45,1989-11-05 12:00:00,"1989-44",179015,1.24,1,"Frozen Juice"
45,1989-11-05 12:00:00,"1989-44",109831,1.915,1,"Bottled Juice"
45,1989-11-05 12:00:00,"1989-44",797155,1.29,1,"Soft Drink"
46,1989-11-12 12:00:00,"1989-45",200255,0.7,1,"FrontEnd Candies"
46,1989-11-12 12:00:00,"1989-45",156456,1.44,1,"Frozen Juice"
46,1989-11-12 12:00:00,"1989-45",105696,1.865,1,"Bottled Juice"
46,1989-11-12 12:00:00,"1989-45",574208,1.345,1,"Soft Drink"
47,1989-11-19 12:00:00,"1989-46",193824,0.7,1,"FrontEnd Candies"
47,1989-11-19 12:00:00,"1989-46",300783,1.04,1,"Frozen Juice"
47,1989-11-19 12:00:00,"1989-46",100662,1.915,1,"Bottled Juice"
47,1989-11-19 12:00:00,"1989-46",886178,0.995,1,"Soft Drink"
48,1989-11-26 12:00:00,"1989-47",194336,0.7,1,"FrontEnd Candies"
48,1989-11-26 12:00:00,"1989-47",156007,1.29,1,"Frozen Juice"
48,1989-11-26 12:00:00,"1989-47",96279,1.915,1,"Bottled Juice"
48,1989-11-26 12:00:00,"1989-47",784795,1.49,1,"Soft Drink"
49,1989-12-03 12:00:00,"1989-48",207663,0.7,1,"FrontEnd Candies"
49,1989-12-03 12:00:00,"1989-48",175763,1.09,1,"Frozen Juice"
49,1989-12-03 12:00:00,"1989-48",101136,1.755,1,"Bottled Juice"
49,1989-12-03 12:00:00,"1989-48",856897,1.29,1,"Soft Drink"
50,1989-12-10 12:00:00,"1989-49",235897,0.7,1,"FrontEnd Candies"
50,1989-12-10 12:00:00,"1989-49",195908,1.29,1,"Frozen Juice"
50,1989-12-10 12:00:00,"1989-49",118174,1.85,1,"Bottled Juice"
50,1989-12-10 12:00:00,"1989-49",596692,1.645,1,"Soft Drink"
51,1989-12-17 12:00:00,"1989-50",244770,0.7,1,"FrontEnd Candies"
51,1989-12-17 12:00:00,"1989-50",227878,1.29,1,"Frozen Juice"
51,1989-12-17 12:00:00,"1989-50",122461,1.85,1,"Bottled Juice"
51,1989-12-17 12:00:00,"1989-50",635799,1.19,1,"Soft Drink"
52,1989-12-24 12:00:00,"1989-51",198221,0.7,1,"FrontEnd Candies"
52,1989-12-24 12:00:00,"1989-51",177339,1.145,1,"Frozen Juice"
52,1989-12-24 12:00:00,"1989-51",115830,1.86,1,"Bottled Juice"
52,1989-12-24 12:00:00,"1989-51",601811,1.24,1,"Soft Drink"
53,1989-12-31 12:00:00,"1989-52",207759,0.745,1,"FrontEnd Candies"
53,1989-12-31 12:00:00,"1989-52",164553,1.19,1,"Frozen Juice"
53,1989-12-31 12:00:00,"1989-52",149720,1.85,1,"Bottled Juice"
53,1989-12-31 12:00:00,"1989-52",748300,1.54,1,"Soft Drink"
54,1990-01-07 12:00:00,"1990-01",225059,0.745,1,"FrontEnd Candies"
54,1990-01-07 12:00:00,"1990-01",153615,1.19,1,"Frozen Juice"
54,1990-01-07 12:00:00,"1990-01",105047,1.88,1,"Bottled Juice"
54,1990-01-07 12:00:00,"1990-01",610019,1.64,1,"Soft Drink"
55,1990-01-14 12:00:00,"1990-02",319938,0.49,1,"FrontEnd Candies"
55,1990-01-14 12:00:00,"1990-02",165953,1.39,1,"Frozen Juice"
55,1990-01-14 12:00:00,"1990-02",117010,1.725,1,"Bottled Juice"
55,1990-01-14 12:00:00,"1990-02",547236,1.19,1,"Soft Drink"
56,1990-01-21 12:00:00,"1990-03",176504,0.4,0,"FrontEnd Candies"
56,1990-01-21 12:00:00,"1990-03",165582,1.29,1,"Frozen Juice"
56,1990-01-21 12:00:00,"1990-03",100516,1.74,1,"Bottled Juice"
56,1990-01-21 12:00:00,"1990-03",1215084,1,1,"Soft Drink"
57,1990-01-28 12:00:00,"1990-04",175223,0.645,1,"FrontEnd Candies"
57,1990-01-28 12:00:00,"1990-04",196351,1.14,1,"Frozen Juice"
57,1990-01-28 12:00:00,"1990-04",101432,2.17,1,"Bottled Juice"
57,1990-01-28 12:00:00,"1990-04",1473800,2.145,1,"Soft Drink"
58,1990-02-04 12:00:00,"1990-05",171350,0.545,1,"FrontEnd Candies"
58,1990-02-04 12:00:00,"1990-05",143231,1.24,1,"Frozen Juice"
58,1990-02-04 12:00:00,"1990-05",118183,1.795,1,"Bottled Juice"
58,1990-02-04 12:00:00,"1990-05",827268,0.99,1,"Soft Drink"
59,1990-02-11 12:00:00,"1990-06",167114,0.545,1,"FrontEnd Candies"
59,1990-02-11 12:00:00,"1990-06",159478,1.29,1,"Frozen Juice"
59,1990-02-11 12:00:00,"1990-06",107176,1.815,1,"Bottled Juice"
59,1990-02-11 12:00:00,"1990-06",822319,0.99,1,"Soft Drink"
60,1990-02-18 12:00:00,"1990-07",142411,0.495,1,"FrontEnd Candies"
60,1990-02-18 12:00:00,"1990-07",161688,1.22,1,"Frozen Juice"
60,1990-02-18 12:00:00,"1990-07",101122,1.815,1,"Bottled Juice"
60,1990-02-18 12:00:00,"1990-07",735294,2.99,1,"Soft Drink"
61,1990-02-25 12:00:00,"1990-08",173612,0.7,1,"FrontEnd Candies"
61,1990-02-25 12:00:00,"1990-08",137634,1.31,1,"Frozen Juice"
61,1990-02-25 12:00:00,"1990-08",100953,1.705,1,"Bottled Juice"
61,1990-02-25 12:00:00,"1990-08",790963,1.5,1,"Soft Drink"
62,1990-03-04 12:00:00,"1990-09",229897,0.7,1,"FrontEnd Candies"
62,1990-03-04 12:00:00,"1990-09",192166,1.29,1,"Frozen Juice"
62,1990-03-04 12:00:00,"1990-09",141034,1.59,1,"Bottled Juice"
62,1990-03-04 12:00:00,"1990-09",671174,1.29,1,"Soft Drink"
63,1990-03-11 12:00:00,"1990-10",169374,0.7,1,"FrontEnd Candies"
63,1990-03-11 12:00:00,"1990-10",152779,1.44,1,"Frozen Juice"
63,1990-03-11 12:00:00,"1990-10",88916,1.68,1,"Bottled Juice"
63,1990-03-11 12:00:00,"1990-10",510020,1.195,1,"Soft Drink"
64,1990-03-18 12:00:00,"1990-11",233657,0.7,1,"FrontEnd Candies"
64,1990-03-18 12:00:00,"1990-11",178158,1.44,1,"Frozen Juice"
64,1990-03-18 12:00:00,"1990-11",121921,1.735,1,"Bottled Juice"
64,1990-03-18 12:00:00,"1990-11",561738,1.995,1,"Soft Drink"
65,1990-03-25 12:00:00,"1990-12",175693,0.645,1,"FrontEnd Candies"
65,1990-03-25 12:00:00,"1990-12",160984,1.29,1,"Frozen Juice"
65,1990-03-25 12:00:00,"1990-12",100973,1.7275,1,"Bottled Juice"
65,1990-03-25 12:00:00,"1990-12",841547,1.19,1,"Soft Drink"
66,1990-04-01 12:00:00,"1990-13",187683,0.645,1,"FrontEnd Candies"
66,1990-04-01 12:00:00,"1990-13",171890,1.24,1,"Frozen Juice"
66,1990-04-01 12:00:00,"1990-13",114429,2.25,1,"Bottled Juice"
66,1990-04-01 12:00:00,"1990-13",644316,1.29,1,"Soft Drink"
67,1990-04-08 12:00:00,"1990-14",176760,0.645,1,"FrontEnd Candies"
67,1990-04-08 12:00:00,"1990-14",170013,1.39,1,"Frozen Juice"
67,1990-04-08 12:00:00,"1990-14",111468,1.765,1,"Bottled Juice"
67,1990-04-08 12:00:00,"1990-14",618817,1.09,1,"Soft Drink"
68,1990-04-15 12:00:00,"1990-15",149170,0.7,1,"FrontEnd Candies"
68,1990-04-15 12:00:00,"1990-15",170024,1.24,1,"Frozen Juice"
68,1990-04-15 12:00:00,"1990-15",100018,1.955,1,"Bottled Juice"
68,1990-04-15 12:00:00,"1990-15",881338,1.245,1,"Soft Drink"
69,1990-04-22 12:00:00,"1990-16",169235,0.7,1,"FrontEnd Candies"
69,1990-04-22 12:00:00,"1990-16",232794,1.44,1,"Frozen Juice"
69,1990-04-22 12:00:00,"1990-16",112222,1.72,1,"Bottled Juice"
69,1990-04-22 12:00:00,"1990-16",696974,1,1,"Soft Drink"
70,1990-04-29 12:00:00,"1990-17",163070,0.7,1,"FrontEnd Candies"
70,1990-04-29 12:00:00,"1990-17",196828,1.42,1,"Frozen Juice"
70,1990-04-29 12:00:00,"1990-17",102330,1.78,1,"Bottled Juice"
70,1990-04-29 12:00:00,"1990-17",933697,1.145,1,"Soft Drink"
71,1990-05-06 12:00:00,"1990-18",174232,0.7,1,"FrontEnd Candies"
71,1990-05-06 12:00:00,"1990-18",203483,1.17,1,"Frozen Juice"
71,1990-05-06 12:00:00,"1990-18",105920,1.82,1,"Bottled Juice"
71,1990-05-06 12:00:00,"1990-18",907347,1.145,1,"Soft Drink"
72,1990-05-13 12:00:00,"1990-19",184063,0.645,1,"FrontEnd Candies"
72,1990-05-13 12:00:00,"1990-19",155988,1.31,1,"Frozen Juice"
72,1990-05-13 12:00:00,"1990-19",117587,1.825,1,"Bottled Juice"
72,1990-05-13 12:00:00,"1990-19",568147,1.795,1,"Soft Drink"
73,1990-05-20 12:00:00,"1990-20",265725,0.7,1,"FrontEnd Candies"
73,1990-05-20 12:00:00,"1990-20",162801,1.22,1,"Frozen Juice"
73,1990-05-20 12:00:00,"1990-20",127596,1.59,1,"Bottled Juice"
73,1990-05-20 12:00:00,"1990-20",643080,1.145,1,"Soft Drink"
74,1990-05-27 12:00:00,"1990-21",206129,0.7,1,"FrontEnd Candies"
74,1990-05-27 12:00:00,"1990-21",212133,1.2,1,"Frozen Juice"
74,1990-05-27 12:00:00,"1990-21",114416,1.52,1,"Bottled Juice"
74,1990-05-27 12:00:00,"1990-21",720947,1.29,1,"Soft Drink"
75,1990-06-03 12:00:00,"1990-22",170893,0.7,1,"FrontEnd Candies"
75,1990-06-03 12:00:00,"1990-22",209916,1.18,1,"Frozen Juice"
75,1990-06-03 12:00:00,"1990-22",111059,1.66,1,"Bottled Juice"
75,1990-06-03 12:00:00,"1990-22",557502,1,1,"Soft Drink"
76,1990-06-10 12:00:00,"1990-23",205007,0.7,1,"FrontEnd Candies"
76,1990-06-10 12:00:00,"1990-23",249685,0.99,1,"Frozen Juice"
76,1990-06-10 12:00:00,"1990-23",118640,1.685,1,"Bottled Juice"
76,1990-06-10 12:00:00,"1990-23",941851,0.99,1,"Soft Drink"
77,1990-06-17 12:00:00,"1990-24",335640,0.695,1,"FrontEnd Candies"
77,1990-06-17 12:00:00,"1990-24",170193,1.19,1,"Frozen Juice"
77,1990-06-17 12:00:00,"1990-24",118422,1.705,1,"Bottled Juice"
77,1990-06-17 12:00:00,"1990-24",1153504,1.095,1,"Soft Drink"
78,1990-06-24 12:00:00,"1990-25",200687,0.695,1,"FrontEnd Candies"
78,1990-06-24 12:00:00,"1990-25",198473,1.29,1,"Frozen Juice"
78,1990-06-24 12:00:00,"1990-25",152440,1.59,1,"Bottled Juice"
78,1990-06-24 12:00:00,"1990-25",683801,2,1,"Soft Drink"
79,1990-07-01 12:00:00,"1990-26",232759,0.695,1,"FrontEnd Candies"
79,1990-07-01 12:00:00,"1990-26",199704,1.59,1,"Frozen Juice"
79,1990-07-01 12:00:00,"1990-26",141064,1.51,1,"Bottled Juice"
79,1990-07-01 12:00:00,"1990-26",894936,1,1,"Soft Drink"
80,1990-07-08 12:00:00,"1990-27",197102,0.79,1,"FrontEnd Candies"
80,1990-07-08 12:00:00,"1990-27",138662,1.13,1,"Frozen Juice"
80,1990-07-08 12:00:00,"1990-27",132417,1.68,1,"Bottled Juice"
80,1990-07-08 12:00:00,"1990-27",512319,1.995,1,"Soft Drink"
81,1990-07-15 12:00:00,"1990-28",197940,0.79,1,"FrontEnd Candies"
81,1990-07-15 12:00:00,"1990-28",174268,1.18,1,"Frozen Juice"
81,1990-07-15 12:00:00,"1990-28",121118,1.69,1,"Bottled Juice"
81,1990-07-15 12:00:00,"1990-28",575014,1.145,1,"Soft Drink"
82,1990-07-22 12:00:00,"1990-29",184209,0.7,1,"FrontEnd Candies"
82,1990-07-22 12:00:00,"1990-29",202224,1.39,1,"Frozen Juice"
82,1990-07-22 12:00:00,"1990-29",104756,1.645,1,"Bottled Juice"
82,1990-07-22 12:00:00,"1990-29",788231,0.89,1,"Soft Drink"
83,1990-07-29 12:00:00,"1990-30",205771,0.7,1,"FrontEnd Candies"
83,1990-07-29 12:00:00,"1990-30",231497,1.5,1,"Frozen Juice"
83,1990-07-29 12:00:00,"1990-30",108329,1.92,1,"Bottled Juice"
83,1990-07-29 12:00:00,"1990-30",549109,0.99,1,"Soft Drink"
84,1990-08-05 12:00:00,"1990-31",237951,0.95,1,"FrontEnd Candies"
84,1990-08-05 12:00:00,"1990-31",160548,1.41,1,"Frozen Juice"
84,1990-08-05 12:00:00,"1990-31",109785,1.69,1,"Bottled Juice"
84,1990-08-05 12:00:00,"1990-31",927807,1,1,"Soft Drink"
85,1990-08-12 12:00:00,"1990-32",230133,0.95,1,"FrontEnd Candies"
85,1990-08-12 12:00:00,"1990-32",227093,1.21,1,"Frozen Juice"
85,1990-08-12 12:00:00,"1990-32",112812,1.59,1,"Bottled Juice"
85,1990-08-12 12:00:00,"1990-32",824721,1.89,1,"Soft Drink"
86,1990-08-19 12:00:00,"1990-33",235959,0.95,1,"FrontEnd Candies"
86,1990-08-19 12:00:00,"1990-33",175898,1.61,1,"Frozen Juice"
86,1990-08-19 12:00:00,"1990-33",124140,1.58,1,"Bottled Juice"
86,1990-08-19 12:00:00,"1990-33",569720,1.19,1,"Soft Drink"
87,1990-08-26 12:00:00,"1990-34",209997,0.95,1,"FrontEnd Candies"
